demand_electricity,electricity_balance,pv,soc,delta_battery,supply_grid_power,heat_pump
-0.0,-4.084599999998318,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.627199999998993,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.4509999999972933,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.136000000000422,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.7840000000051078,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.7511999999951515,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8820000000014261,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.7410000000018045,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1295999999983906,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.607799999996132,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.0123380712560244,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.21212415627528655,-0.2020692712547757,0.0,-0.0
-0.0,-0.05691649903533702,0.0,0.2,0.16367610971636834,0.0,-0.0
-0.0,-2.5886208037483147,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.4508648574499619,-4.181080957499365,0.0,-0.0
-0.0,0.0,0.0,0.5289575492750161,-1.3015448637509042,0.0,-0.0
-0.0,0.0,0.0,0.5309233575500796,-0.032763471251056546,0.0,-0.0
